row_id,sas_variable_name,label,question,section_name,type_of_variable
288,PAFRE,Physical Activity Frequency per Week for First Activity, Physical Activity Frequency per Week for First Activity,Calculated Variables,Num
289,PAFRE,Physical Activity Frequency per Week for Second Activity, Physical Activity Frequency per Week for Second Activity,Calculated Variables,Num
294,PAMIN13_,Minutes of Physical Activity per week for First Activity, Minutes of Physical Activity per week for First Activity,Calculated Variables,Num
295,PAMIN23_,Minutes of Physical Activity per week for Second Activity, Minutes of Physical Activity per week for Second Activity,Calculated Variables,Num
293,PAMISS3_,Missing Physical Activity Data, Missing Physical Activity Data,Calculated Variables,Num
297,PAVIG13_,Minutes of Vigorous Physical Activity per week for First Activity, Minutes of Vigorous Physical Activity per week for First Activity,Calculated Variables,Num
298,PAVIG23_,Minutes of Vigorous Physical Activity per week for Second Activity, Minutes of Vigorous Physical Activity per week for Second Activity,Calculated Variables,Num
135,PCPSARS2,What was the MAIN reason you had this PSA test?, What was the main reason you had this P.,Prostate Cancer Screening,Num
137,PCSTALK2,Did you talk about the advantages or disadvantages of P.," When you met with a doctor, nurse, or other health professional, did they ever talk about the advantages, the disadvantages, or both advantages and disadvantages of the prostate-specific antigen or P.",Prostate Cancer Screening,Num
106,PDIABTS1,When was your last blood test for high blood sugar?," When was the last time you had a blood test for high blood sugar or diabetes by a doctor, nurse, or other health professional?",Pre-Diabetes,Num
37,PERSDOC3,Have Personal Health Care Provider?, Do you have one person (or a group of doctors) that you think of as your personal health care provider?,Health Care Access,Num
33,PHYSHLTH,Number of Days Physical Health Not Good," Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Healthy Days,Num
97,PNEUVAC4,Pneumonia shot ever, Have you ever had a pneumonia shot also known as a pneumococcal vaccine?,Immunization,Num
35,POORHLTH,Poor Physical or Mental Health," During the past 30 days, for about how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",Healthy Days,Num
107,PREDIAB2,Ever been told by a doctor or other health professional that you have pre-diabetes or borderline diabetes?," Has a doctor or other health professional ever told you that you had prediabetes or borderline diabetes?  (If “Yes” and respondent is female, ask: “Was this only when you were pregnant?”)",Pre-Diabetes,Num
76,PREGNANT,Pregnancy Status," To your knowledge, are you now pregnant?",Demographics,Num
36,PRIMINS1,What is Current Primary Source of Health Insurance?, What is the current source of your primary health insurance?,Health Care Access,Num
136,PSASUGS1,Who first suggested this P., Who first suggested (a or this) P.,Prostate Cancer Screening,Num
133,PSATEST1,Ever Had PSA Test, Have you ever had a P.,Prostate Cancer Screening,Num
134,PSATIME1,Time Since Most Recent PSA Test, About how long has it been since your most recent P.,Prostate Cancer Screening,Num
11,PVTRESD1,Private Residence?," Is this a private residence?   [READ ONLY IF NECESSARY: “By private residence, we mean someplace like a house or apartment.”]",Land Line Introduction,Num
26,PVTRESD3,Do you live in a private residence?," Do you live in a private residence?  (By private residence, we mean someplace like a house or apartment.)",Cell Phone Introduction,Num
257,QSTLANG,Language identifier, Language identifier,Questionnaire Language,Num
256,QSTVER,Questionnaire Version Identifier, Questionnaire Version Identifier,Questionnaire Version,Num
251,RCSGEND1,Gender of child, Is the child a boy or a girl?,Random Child Selection,Num
253,RCSRLTN2,Relationship to child, How are you related to the child?,Random Child Selection,Num
252,RCSXBRTH,Child´s sex at birth, What was the child´s sex on their original birth certificate?,Random Child Selection,Num
68,RENTHOM1,Own or Rent Home, Do you own or rent your home?,Demographics,Num
17,RESPSLC1,Respondent selection, The person in your household that I need to speak with is the adult with the most recent birthday. Are you the adult with the most recent birthday?,Land Line Introduction,Num
248,RRATWRK2,How do you feel you were treated at work compared to people of other races in past 12 months?," Within the past 12 months at work, do you feel you were treated worse than, the same as, or better than people of other races?",Reactions to Race,Num
245,RRCLASS3,How do other people usually classify you in this country?," How do other people usually classify you in this country? Would you say White, Black or African American, Hispanic or Latino, Asian, Native Hawaiian or Other Pacific Islander, American Indian or Alaska Native, or some other group?",Reactions to Race,Num
246,RRCOGNT2,How often do you think about your race?," How often do you think about your race? Would you say never, once a year, once a month, once a week, once a day, once an hour, or constantly?",Reactions to Race,Num
249,RRHCARE4,"When seeking health care past 12 months, was experience worse, same, better than people of other races?"," Within the past 12 months when seeking health care, do you feel your experiences were worse than, the same as, or better than for people of other races?",Reactions to Race,Num
250,RRPHYSM2,Times past 30 days felt physical symptoms because of treatment due to your race," Within the past 30 days, have you experienced any physical symptoms, for example, a headache, an upset stomach, tensing of your muscles, or a pounding heart, as a result of how you were treated based on your race?",Reactions to Race,Num
247,RRTREAT,"Were you treated worse than, the same, or better than people of other races?"," Within the past 12 months, do you feel that in general you were treated worse than, the same as, or better than people of other races?",Reactions to Race,Num
20,SAFETIME,Safe time to talk, Is this a safe time to talk with you?,Cell Phone Introduction,Num
241,SDHBILLS,Were you not able to pay your bills?," During the last 12 months, was there a time when you were not able to pay your mortgage, rent or utility bills?",Social Determinants and Health Equity,Num
238,SDHEMPLY,Have you lost employment or had hours reduced?, In the past 12 months have you lost employment or had hours reduced?,Social Determinants and Health Equity,Num
240,SDHFOOD1,"How often did the food that you bought not last, and you didn’t have money to get more?"," During the past 12 months how often did the food that you bought not last, and you didn’t have money to get more? Was that…",Social Determinants and Health Equity,Num
244,SDHSTRE1,How often have you felt this kind of stress?," Within the last 30 days, how often have you felt this kind of stress?",Social Determinants and Health Equity,Num
243,SDHTRNSP,"Has a lack of reliable transportation kept you from appointments, meetings, work, or getting things needed"," During the past 12 months has a lack of reliable transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living?",Social Determinants and Health Equity,Num
242,SDHUTILS,Were you not able to pay utility bills or threatened to lose service?," During the last 12 months was there a time when an electric, gas, oil, or water company threatened to shut off services?",Social Determinants and Health Equity,Num
237,SDLONELY,How often do you feel lonely?, How often do you feel lonely?  Is it…,Social Determinants and Health Equity,Num
150,SDNATES1,How long since you had stool DNA, How long has it been since you had this test?,Colorectal Cancer Screening,Num
8,SE,Annual Sequence Number, Annual Sequence Number,Record Identification,Char
101,SEATBELT,How often use seatbelts in car?, How often do you use seat belts when you drive or ride in a car? Would you say—,Seatbelt Use and Drinking and Driving,Num
31,SEXVAR,Sex of Respondent, Sex of Respondent,Respondent Sex,Num
98,SHINGLE2,Have you ever had the shingles or zoster vaccine?, Have you ever had the shingles or zoster vaccine?,Immunization,Num
141,SIGMTES1,How long since you had sigmoidoscopy, How long has it been since your most recent sigmoidoscopy?,Colorectal Cancer Screening,Num
146,SMALSTOL,Ever had stool test?, One stool test uses a special kit to obtain a small amount of stool at home and returns the kit to the doctor or the lab. Have you ever had this test?,Colorectal Cancer Screening,Num
88,SMOKDAY2,Frequency of Days Now Smoking," Do you now smoke cigarettes every day, some days, or not at all?",Tobacco Use,Num
87,SMOKE100,Smoked at Least 100 Cigarettes, Have you smoked at least 100 cigarettes in your entire life?   [Note:  5 packs = 100 cigarettes],Tobacco Use,Num
207,SOFEMALE,Sexual orientation, Which of the following best represents how you think of yourself?,Sexual Orientation and Gender Identity (SOGI)Module Number: 22,Num
206,SOMALE,Sexual orientation, Which of the following best represents how you think of yourself?,Sexual Orientation and Gender Identity (SOGI)Module Number: 22,Num
13,STATERE1,Resident of State, Do you currently live in  ____(state)____?,Land Line Introduction,Num
147,STOLTEST,How long since you had stool test?, How long has it been since you had this test?,Colorectal Cancer Screening,Num
148,STOOLDN2,Ever had stool DNA test?, Another stool test uses a special kit to obtain an entire bowel movement at home and returns the kit to a lab.   Have you ever had this test?,Colorectal Cancer Screening,Num
184,STOPSMK2,Stopped Smoking in past 12 months," During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?",Tobacco Cessation,Num
47,STRENGTH,How many times did you do physical activities or exercises to STRENGTHEN your muscles?," During the past month, how many times per week or per month did you do physical activities or exercises to STRENGTHEN your muscles?   [Do NOT count aerobic activities like walking, running, or bicycling. Count activities using your own body weight like yoga, sit-ups or push-ups and those using weight machines, free weights, or elastic bands.]",Exercise (Physical Activity)Core Section Number: 4,Num
292,STRFRE,Strength Activity Frequency per Week, Strength Activity Frequency per Week,Calculated Variables,Num
197,STRSYMP1,Stroke Symptoms - Confusion/Trouble speaking, (Do you think) sudden confusion or trouble speaking (are symptoms of a stroke?),Heart Attack and Stroke,Num
198,STRSYMP2,Stroke Symptoms - Numbness or Weakness of Face/Arm/Leg," (Do you think) sudden numbness or weakness of face, arm, or leg, especially on one side (are symptoms of a stroke?)",Heart Attack and Stroke,Num
199,STRSYMP3,Stroke Symptoms - Vision Problems, (Do you think) sudden trouble seeing in one or both eyes (is a symptom of a stroke?),Heart Attack and Stroke,Num
200,STRSYMP4,Stroke Symptoms - Chest Pain/Discomfort, (Do you think) sudden chest pain or discomfort (are symptoms of a stroke?),Heart Attack and Stroke,Num
201,STRSYMP5,Stroke Symptoms - Trouble Walking/Dizziness/Loss of Balance," (Do you think) sudden trouble walking, dizziness, or loss of balance (are symptoms of a stroke?)",Heart Attack and Stroke,Num
202,STRSYMP6,Stroke Symptoms - Severe Headache, (Do you think) severe headache with no known cause (is a symptom of a stroke?),Heart Attack and Stroke,Num
166,SUNPRTCT,How often protect yourself from the sun," When you go outside on a warm sunny day for more than one hour, how often do you protect yourself from the sun? Is that….",Excess Sun Exposure,Num
231,TETANUS1,Received Tetanus Shot Since 2005?," Have you received a tetanus shot in the past 10 years?  (If yes, ask: “Was this Tdap, the tetanus shot that also has pertussis or whooping cough vaccine?”)",Tetanus Diphtheria (Tdap) (Adults)Module Number: 27,Num
51,TOLDHI3,Ever Told Cholesterol Is High," Have you ever been told by a doctor, nurse or other health professional that your cholesterol is high?",Cholesterol Awareness,Num
208,TRNSGNDR,Do you consider yourself to be transgender?," Do you consider yourself to be transgender?  (If yes, ask “Do you consider yourself to be male-to-female, female-to-male, or gender non-conforming?)",Sexual Orientation and Gender Identity (SOGI)Module Number: 22,Num
89,USENOW3,Use of Smokeless Tobacco Products," Do you currently use chewing tobacco, snuff, or snus every day, some days, or not at all?  (Snus (Swedish for snuff) is a moist smokeless tobacco, usually sold in small pouches that are placed under the lip against the gum.)",Tobacco Use,Num
145,VCLNTES2,How long since you had  virtual colonoscopy, When was your most recent CT colonography or virtual colonoscopy?,Colorectal Cancer Screening,Num
72,VETERAN3,Are You A Veteran," Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a National Guard or military reserve unit?",Demographics,Num
144,VIRCOLO1,Ever had a virtual colonoscopy, A virtual colonoscopy uses a series of X-rays to take pictures of inside the colon.  Have you ever had a virtual colonoscopy?,Colorectal Cancer Screening,Num
77,WEIGHT2,Reported Weight in Pounds," About how much do you weigh without shoes?  (If respondent answers in metrics, put a 9 in the first column)[Round fractions up.]",Demographics,Num
167,WKDAYOUT,How often outside on weekdays," On weekdays, in the summer, how long are you outside per day between 10am and 4pm?",Excess Sun Exposure,Num
168,WKENDOUT,How often outside on weekends," On weekends in the summer, how long are you outside each day between 10am and 4pm?",Excess Sun Exposure,Num
329,WTKG3,Computed Weight in Kilograms, Reported weight in kilograms,Calculated Variables,Num
324,_AGE65,Reported age in two age groups calculated variable, Two-level age category,Calculated Variables,Num
325,_AGE80,Imputed Age value collapsed above 80, Imputed Age value collapsed above 80,Calculated Variables,Num
323,_AGEG5,Reported age in five-year age categories calculated variable, Fourteen-level age category,Calculated Variables,Num
326,_AGE_G,Imputed age in six groups, Six-level imputed age category,Calculated Variables,Num
346,_AIDTST4,Ever been tested for HIV calculated variable, Adults who have ever been tested for HIV,Calculated Variables,Num
314,_ASTHMS1,Computed Asthma Status, Computed asthma status,Calculated Variables,Num
330,_BMI5,Computed body mass index, Body Mass Index (BMI),Calculated Variables,Num
331,_BMI5,Computed body mass index categories, Four-categories of Body Mass Index (BMI),Calculated Variables,Num
313,_CASTHM1,Current Asthma Calculated Variable, Adults who have been told they currently have asthma,Calculated Variables,Num
266,_CHISPNC,"Child Hispanic, Latino/a, or Spanish origin calculated variable"," Child Hispanic, Latino/a, or Spanish origin calculated variable",Child Demographic Variables,Num
333,_CHLDCNT,Computed number of children in household, Number of children in household,Calculated Variables,Num
309,_CHOLCH3,Cholesterol Checked Calculated Variable, Cholesterol check within past five years,Calculated Variables,Num
269,_CLLCPWT,Final child weight: Land-line and Cell-Phone data, Final child weight: Land-line and Cell-Phone data  (Raking derived weight),Child Weighting Variables,Num
267,_CRACE1,Child Non-Hispanic Race including Multiracial, Child multiracial race categorization,Child Demographic Variables,Num
338,_CURECI2,Current E-cigarette User Calculated Variable, Adults who are current e-cigarette users,Calculated Variables,Num
315,_DRDXAR2,Respondents diagnosed with arthritis, Respondents who have had a doctor diagnose them as having some form of arthritis,Calculated Variables,Num
349,_DRNKDRV,Drinking and Driving, Drinking and Driving  (Reported having driven at least once when perhaps had too much to drink),Calculated Variables,Num
342,_DRNKWK2,Computed number of drinks of alcohol beverages per week, Calculated total number of alcoholic beverages consumed per week,Calculated Variables,Num
271,_DUALCOR,Dual Phone Use Correction Factor, Dual phone use correction factor,Weighting Variables,Num
270,_DUALUSE,Dual Phone Use Categories, Dual Phone Use Categories,Weighting Variables,Num
334,_EDUCAG,Computed level of education completed categories, Level of education completed,Calculated Variables,Num
344,_FLSHOT7,Flu Shot Calculated Variable, Adults aged 65+ who have had a flu shot within the past year,Calculated Variables,Num
278,_HCVU653,Respondents aged 18-64 with health insurance, Respondents aged 18-64 who have any form of health insurance,Calculated Variables,Num
317,_HISPANC,"Hispanic, Latino/a, or Spanish origin calculated variable"," Hispanic, Latino/a, or Spanish origin calculated variable",Calculated Race Variables,Num
277,_HLTHPL1,Have any health insurance, Adults who had some form of health insurance,Calculated Variables,Num
265,_IMPRACE,Imputed race/ethnicity value," Imputed race/ethnicity value  (This value is the reported race/ethnicity or an imputed race/ethnicity, if the respondent refused to give a race/ethnicity. The value of the imputed race/ethnicity will be the most common race/ethnicity response for that region of the state)",Weighting Variables,Num
335,_INCOMG1,Computed income categories, Income categories,Calculated Variables,Num
273,_LLCPWT,Final weight: Land-line and cell-phone data, Final weight assigned to each  respondent: Land-line and cell-phone data  (Raking derived weight),Weighting Variables,Num
272,_LLCPWT2,Truncated design weight used in adult combined land line and cell phone raking, Truncated design weight used in adult combined land line and cell phone raking,Weighting Variables,Num
312,_LTASTH1,Lifetime Asthma Calculated Variable, Adults who have ever been told they have asthma,Calculated Variables,Num
276,_MENT14,Computed Mental Health Status," 3 level not good mental health status: 0 days, 1-13 days, 14-30 days",Calculated Variables,Num
258,_METSTAT,Metropolitan Status, Metropolitan Status,Urban Rural,Num
311,_MICHD,Ever had CHD or MI, Respondents that have ever reported having coronary heart disease (CHD) or myocardial infarction (MI),Calculated Variables,Num
290,_MINAC12,Minutes of Physical Activity per week for First Activity, Minutes of Physical Activity per week for First Activity,Calculated Variables,Num
291,_MINAC22,Minutes of Physical Activity per week for Second Activity, Minutes of Physical Activity per week for Second Activity,Calculated Variables,Num
316,_MRACE1,Calculated non-Hispanic Race including multiracial, Calculated multiracial race categorization,Calculated Race Variables,Num
302,_PA150,150 Minute Physical Activity Calculated Variable, Adults that participated in 150 minutes (or vigorous equivalent minutes) of physical activity per week.,Calculated Variables,Num
303,_PA300,300 Minute Physical Activity Calculated Variable, Adults that participated in greater than 300 minutes  (or vigorous equivalent minutes) of physical activity per week.,Calculated Variables,Num
304,_PA30023,300 Minute Physical Activity 2-Level Calculated Variable, Adults that participated in greater than 300 minutes  (or vigorous equivalent minutes) of physical activity per week (2-levels).,Calculated Variables,Num
300,_PACAT3,Physical Activity Categories, Physical Activity Categories,Calculated Variables,Num
301,_PAINDX3,Physical Activity Index, Physical Activity Index,Calculated Variables,Num
306,_PAREC3,Aerobic and Strengthening Guideline, Aerobic and Strengthening Guideline,Calculated Variables,Num
307,_PASTAE3,Aerobic and Strengthening (2-level), Aerobic and Strengthening (2-level),Calculated Variables,Num
305,_PASTRNG,Muscle Strengthening Recommendation, Muscle Strengthening Recommendation,Calculated Variables,Num
275,_PHYS14,Computed Physical Health Status," 3 level not good physical health status: 0 days, 1-13 days, 14-30 days",Calculated Variables,Num
345,_PNEUMO3,Pneumonia Vaccination Calculated Variable, Adults aged 65+ who have ever had a pneumonia vaccination,Calculated Variables,Num
9,_PSU,Primary Sampling Unit, Primary Sampling Unit (Equal to Annual Sequence Number),Record Identification,Num
318,_RACE,Computed Race-Ethnicity grouping, Race/ethnicity categories,Calculated Race Variables,Num
319,_RACEG21,Create Computed Non-Hispanic Whites/All Others Race Categories Race/Ethnic Group Codes Used In Post-Stratification Variable, White non-Hispanic race group,Calculated Race Variables,Num
320,_RACEGR3,Computed Five level race/ethnicity category., Five-level race/ethnicity category,Calculated Race Variables,Num
321,_RACEPRV,Computed race groups used for internet prevalence tables, Computed race groups used for internet prevalence tables,Calculated Race Variables,Num
263,_RAWRAKE,Raw weighting factor used in raking," Raw weighting factor used in raking  (Number of adults in the household (NUMADULT, maximum of 5) divided by the imputed number of phones (_IMPNPH, maximum of 3).)",Weighting Variables,Num
341,_RFBING6,Binge Drinking Calculated Variable," Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion)",Calculated Variables,Num
332,_RFBMI5,Overweight or obese calculated variable, Adults who have a body mass index greater than 25.00 (Overweight or Obese),Calculated Variables,Num
310,_RFCHOL3,High Cholesterol Calculated Variable," Adults who have had their cholesterol checked and have been told by a doctor, nurse, or other health professional that it was high",Calculated Variables,Num
343,_RFDRHV8,Heavy Alcohol Consumption  Calculated Variable, Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week),Calculated Variables,Num
274,_RFHLTH,Adults with good or better health, Adults with good or better health,Calculated Variables,Num
308,_RFHYPE6,High Blood Pressure Calculated Variable," Adults who have been told they have high blood pressure by a doctor, nurse, or other health professional",Calculated Variables,Num
347,_RFSEAT2,Always or Nearly Always Wear Seat Belts, Always or Nearly Always Wear Seat Belts Calculated Variable,Calculated Variables,Num
348,_RFSEAT3,Always Wear Seat Belts, Always Wear Seat Belts Calculated Variable,Calculated Variables,Num
337,_RFSMOK3,Current Smoking Calculated Variable, Adults who are current smokers,Calculated Variables,Num
322,_SEX,Calculated sex variable, Calculated sex variable,Calculated Variables,Num
336,_SMOKER3,Computed Smoking Status," Four-level smoker status:  Everyday smoker, Someday smoker, Former smoker, Non-smoker",Calculated Variables,Num
1,_STATE,State FIPS Code, State FIPS Code,Record Identification,Num
262,_STRWT,Stratum weight, Stratum weight  (Number of records in a stratum (NRECSTR) divided by the number of records selected (NRECSEL).),Weighting Variables,Num
261,_STSTR,Sample Design Stratification Variable," Sample Design Stratification Variable  (Prior to 2011:  _STSTR is a five digit number that combines the values for _STATE (first two characters), _GEOSTR (third and fourth character), and _DENSTR2 (final character).)",Weighting Variables,Num
279,_TOTINDA,Leisure Time Physical Activity Calculated Variable, Adults who reported doing physical activity or exercise during the past 30 days other than their regular job,Calculated Variables,Num
259,_URBSTAT,Urban/Rural Status, Urban/Rural Status,Urban Rural,Num
264,_WT2,Design weight use in raking, Design weight used in raking  (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWRAKE).),Weighting Variables,Num
